Year,Total Energy Consumption,Renewable Energy Consumption,Energy Consumption Per Capita
1950,33.53,1.91,220
1951,35.89,1.89,232
1952,35.63,1.85,226
1953,36.60,1.79,228
1954,35.63,1.78,219
1955,39.22,1.82,236
1956,40.71,1.84,241
1957,40.69,1.79,237
1958,40.51,1.81,232
1959,42.36,1.83,238
1960,43.94,1.83,243
1961,44.56,1.83,243
1962,46.55,1.89,250
1963,48.39,1.90,256
1964,50.48,1.95,263
1965,52.56,2.01,271
1966,55.56,2.04,283
1967,57.31,2.11,288
1968,60.82,2.19,303
1969,63.81,2.31,315
1970,66.04,2.29,322
1971,67.35,2.35,324
1972,70.73,2.45,337
1973,73.72,2.48,348
1974,71.77,2.59,336
1975,69.79,2.54,323
1976,73.92,2.70,339
1977,76.32,2.61,347
1978,77.92,3.01,350
1979,78.82,3.13,350
1980,76.04,3.45,335
1981,74.16,3.52,323
1982,70.81,3.75,306
1983,70.49,4.07,302
1984,74.24,4.10,315
1985,74.27,4.02,312
1986,74.46,3.97,310
1987,77.16,3.77,318
1988,81.03,3.82,331
1989,82.71,4.21,335
1990,82.26,3.86,330
1991,82.21,3.90,325
1992,83.84,3.93,327
1993,85.19,4.01,328
1994,87.05,4.06,331
1995,88.67,4.30,333
1996,91.40,4.48,339
1997,91.96,4.46,337
1998,92.60,4.17,336
1999,94.23,4.20,338
2000,96.69,4.10,343
2001,94.42,3.51,331
2002,95.58,3.77,332
2003,95.81,3.92,330
2004,98.03,4.11,335
2005,98.10,4.23,332
2006,97.23,4.48,326
2007,98.97,4.59,329
2008,96.65,5.07,318
2009,91.63,5.29,299
2010,95.14,5.90,308
2011,93.97,6.31,302
2012,91.68,6.15,292
2013,94.25,6.59,298
2014,95.33,6.80,300
2015,94.48,6.83,295
2016,94.09,7.12,291
2017,93.90,7.38,289
2018,97.40,7.53,298
2019,96.60,7.59,294
2020,88.85,7.30,268
2021,93.36,7.64,281
2022,94.79,8.09,284
2023,93.58,8.24,279