"Year","Bus","Heavy rail","Other rail","Other"
1990,5740648,2420196,473990,321644
1991,5526171,2182759,495912,279035
1992,5699502,2064773,489437,301396
1993,5487952,2172905,498042,293222
1994,5284821,2278945,582426,304542
1995,5416852,2181997,595715,295553
1996,4955427,2067370,631011,275488
1997,4992529,2201070,629817,282799
1998,5160836,2562799,657374,316174
1999,5360392,2685998,680333,331124
2000,5679265,2688025,705055,331097
2001,5719321,2729836,731292,324064
2002,5611975,2706211,729102,339653
2003,5608516,2653190,737994,329081
2004,5816418,2681714,753976,334296
2005,5908530,2774583,784330,338314
2006,5940332,2908948,843760,353387
2007,5429322,3450429,884883,505955
2008,5605445,3570826,937861,483799
2009,5370880,3476969,908996,501043
2010,5231478,3530639,917768,492467
2011,5272923,3648330,952541,487976
2012,5363051,3702571,976457,495109
2013,5340567,3808781,994575,508146
2014,5258993,3939259,1018888,519028
2015,5157146,3945569,1017904,506313
2016,4979624,3893768,1045045,489455
2017,4758603,3813559,1039347,479202
2018,4706339,3712458,1026044,471201
2019,4638115,3797895,1015614,471662
2020,2595607,1483802,406182,224136
2021,2509121,1668852,395562,234560
2022,3050578,2278452,568661,297603
2023,3498432,2604809,665062,345994